restaurant_name,locality,primary_cuisine,price_range,rating_scaled,votes,currency
Le Petit Souffle,"century city mall, poblacion, makati city",french,high,4.8,314,Botswana Pula(P)
Izakaya Kikufuji,"little tokyo, legaspi village, makati city",japanese,high,4.5,591,Botswana Pula(P)
Heat - Edsa Shangri-La,"edsa shangri-la, ortigas, mandaluyong city",seafood,high,4.4,270,Botswana Pula(P)
Ooma,"sm megamall, ortigas, mandaluyong city",japanese,high,4.9,365,Botswana Pula(P)
Sambo Kojin,"sm megamall, ortigas, mandaluyong city",japanese,high,4.8,229,Botswana Pula(P)
Din Tai Fung,"sm megamall, ortigas, mandaluyong city",chinese,high,4.4,336,Botswana Pula(P)
Buffet 101,"sm by the bay, mall of asia complex, pasay city",asian,high,4.0,520,Botswana Pula(P)
Vikings,"sm by the bay, mall of asia complex, pasay city",seafood,high,4.2,677,Botswana Pula(P)
Spiral - Sofitel Philippine Plaza Manila,"sofitel philippine plaza manila, pasay city",european,high,4.9,621,Botswana Pula(P)
Locavore,kapitolyo,filipino,high,4.8,532,Botswana Pula(P)
Silantro Fil-Mex,kapitolyo,filipino,high,4.9,1070,Botswana Pula(P)
Mad Mark's Creamery & Good Eats,kapitolyo,american,high,4.2,488,Botswana Pula(P)
Silantro Fil-Mex,"up town center, diliman, quezon city",filipino,high,4.8,294,Botswana Pula(P)
Guevarra's,addition hills,filipino,high,4.2,458,Botswana Pula(P)
Sodam Korean Restaurant,little baguio,korean,high,4.3,223,Botswana Pula(P)
Cafe Arabelle,"nuvali, don jose, santa rosa",cafe,high,3.6,29,Botswana Pula(P)
Nonna's Pasta & Pizzeria,"solenad 3, don jose, santa rosa",italian,high,4.0,72,Botswana Pula(P)
Balay Dako,tagaytay city,filipino,high,4.5,211,Botswana Pula(P)
Hobing Korean Dessert Cafe,"bgc stopover pavillion, bonifacio global city",cafe,medium,4.5,118,Botswana Pula(P)
Wildflour Cafe + Bakery,bonifacio global city,cafe,high,4.4,392,Botswana Pula(P)
NIU by Vikings,"sm aura premier, bonifacio global city, taguig city",seafood,high,4.7,535,Botswana Pula(P)
The Food Hall by Todd English,"sm aura premier, bonifacio global city, taguig city",american,high,4.5,618,Botswana Pula(P)
Chez Michou,asa norte,fast food,low,3.0,6,Brazilian Real(R$)
Cafí© Daniel Briand,asa norte,cafe,low,3.8,9,Brazilian Real(R$)
Casa do Biscoito Mineiro,asa norte,bakery,low,3.7,11,Brazilian Real(R$)
Maori,asa norte,brazilian,low,3.8,11,Brazilian Real(R$)
Pizza íæ Bessa,asa sul,pizza,low,3.2,11,Brazilian Real(R$)
Sushi Loko,asa sul,japanese,low,3.1,10,Brazilian Real(R$)
Beirute,asa sul,arabian,low,3.7,8,Brazilian Real(R$)
New Koto,asa sul,japanese,low,3.7,5,Brazilian Real(R$)
Sandubas Cafí©,asa sul,brazilian,low,1.0,2,Brazilian Real(R$)
Villa Tevere,asa sul,italian,low,4.1,12,Brazilian Real(R$)
Rovereto,íguas claras,pizza,low,3.1,9,Brazilian Real(R$)
